GlossaryName,TermName,ShortDescription,LongDescription,Examples,Abbreviation,Usage,AdditionalAttributes,TranslationTerms,ValidValuesFor,Synonyms,ReplacedBy,ValidValues,ReplacementTerms,SeeAlso,TranslatedTerms,IsA,Antonyms,Classifies,PreferredToTerms,PreferredTerms
TPCDS Retail,Bill-To Customer,"On catalog and web orders, the customer who was billed for the order.","May differ from the Ship-To Customer (gifts, business orders).",,,,,,,,,,,TPCDS Retail:Ship-To Customer,,,,,,
TPCDS Retail,Ship-To Customer,"On catalog and web orders, the customer the goods were shipped to.",,,,,,,,,,,,TPCDS Retail:Bill-To Customer,,,,,,
TPCDS Retail,Refunded Customer,"On catalog and web returns, the customer who received the refund (the original buyer).",,,,,,,,,,,,TPCDS Retail:Returning Customer,,,,,,
TPCDS Retail,Returning Customer,"On catalog and web returns, the customer who physically returned the goods.",,,,,,,,,,,,TPCDS Retail:Refunded Customer,,,,,,
TPCDS Retail,Preferred Customer,Flag marking customers enrolled in the preferred/loyalty program.,,Y; N,,,,,,,,,,,,,,,,
TPCDS Retail,Customer Name,"Salutation, first and last name of the customer.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Birth Date,"Customer date of birth, stored as separate day, month and year parts.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Birth Country,Country in which the customer was born.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Customer Email,Customer email address.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Customer Login,Customer web login name.,,,,,,,,,,,,,,,,,,
TPCDS Retail,First Sale Date,Date of the customer's first purchase in any channel.,,,,,,,,,,,,,,,,,,
TPCDS Retail,First Ship-To Date,Date of the first order shipped to the customer.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Last Review Date,Date the customer record was last reviewed.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Customer Demographics,"Personal demographic profile: gender, marital status, education, credit rating, dependents.",A shared lookup; many customers map to the same demographic row. Fact rows carry the demographics in effect at time of sale.,,CDEMO,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Gender,Customer gender.,,M; F,,,,,,,,,,,,,,,,
TPCDS Retail,Marital Status,Customer marital status code.,,M married; S single; D divorced; W widowed; U unknown,,,,,,,,,,,,,,,,
TPCDS Retail,Education Status,Highest education level attained.,,Primary; Secondary; College; 2 yr Degree; 4 yr Degree; Advanced Degree; Unknown,,,,,,,,,,,,,,,,
TPCDS Retail,Purchase Estimate,"Estimated annual purchase amount band for the customer, in whole currency units.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Credit Rating,Credit risk classification of the customer.,,Good; Low Risk; High Risk; Unknown,,,,,,,,,,,,,,,,
TPCDS Retail,Dependent Count,Number of dependents in the customer's household.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Employed Dependent Count,Number of dependents who are employed.,,,,,,,,,,,,,,,,,,
TPCDS Retail,College Dependent Count,Number of dependents attending college.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Household Demographics,"Household-level profile: income band, buying potential, dependents, vehicles.",,,HDEMO,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Buy Potential,Estimated household annual spending band.,,0-500; 501-1000; 1001-5000; 5001-10000; >10000; Unknown,,,,,,,,,,,,,,,,
TPCDS Retail,Vehicle Count,Number of vehicles in the household.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Income Band,Household annual income range with lower and upper bound.,,,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Customer Address,Postal address; used for the customer's current address and for the address on each sale.,"Fact rows reference the address used at time of sale, which may differ from the customer's current address.",,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Location Type,Type of dwelling at the address.,,apartment; condo; single family,,,,,,,,,,,,,,,,
TPCDS Retail,Geography,"City, county, state, zip and country attributes shared by all address-bearing entities.",,,,,,,,,,,,,,,,,,
TPCDS Retail,GMT Offset,"Time-zone offset from GMT, in hours, for a location.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Item,A product the retailer sells. Type-2: price and attributes are versioned over time.,"Join facts on i_item_sk to get the item version in effect at the time of sale; use i_item_id to group across versions. Also known as: Product, SKU.",,,,,,,,,,,,,TPCDS Retail:Dimension|TPCDS Retail:Slowly Changing Dimension,,,,
TPCDS Retail,Product Name,Display name of the item.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Current Price,Current list price of the item version.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Item Wholesale Cost,Standard per-unit cost the retailer pays for the item.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Brand,Brand of the item.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Category,Top level of the product hierarchy.,,Books; Children; Electronics; Home; Jewelry; Men; Music; Shoes; Sports; Women,,,,,,,,,,TPCDS Retail:Class|TPCDS Retail:Brand,,,,,,
TPCDS Retail,Class,"Second level of the product hierarchy, within a Category.",,,,,,,,,,,,TPCDS Retail:Category,,,,,,
TPCDS Retail,Manufacturer,Manufacturer of the item.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Product Manager,Identifier of the manager responsible for the item.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Item Attributes,"Physical attributes: size, color, units, container, formulation.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Store,A physical retail location. Type-2.,,,,,,,,,,,,,,TPCDS Retail:Dimension|TPCDS Retail:Slowly Changing Dimension,,,,
TPCDS Retail,Store Name,Name of the store.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Store Manager,Name of the store manager.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Store Size,Floor space in square feet and number of employees.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Store Hours,Operating hours description.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Store Closed Date,Date the store closed; null while open.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Market,Marketing region an operating unit belongs to.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Division,Organizational division an operating unit belongs to.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Company,Legal company an operating unit belongs to.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Tax Percentage,"Sales tax rate applied at a store, call center or web site.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Call Center,A facility that takes catalog orders and returns by phone. Type-2.,,,,,,,,,,,,,,TPCDS Retail:Dimension|TPCDS Retail:Slowly Changing Dimension,,,,
TPCDS Retail,Call Center Attributes,"Name, class, size, hours and manager of a call center.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Catalog Page,A page in a printed catalog from which an item was ordered.,,,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Catalog Page Attributes,"Catalog number, page number, department, type and validity dates.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Web Site,A retailer web property through which orders are placed. Type-2.,,,,,,,,,,,,,,TPCDS Retail:Dimension|TPCDS Retail:Slowly Changing Dimension,,,,
TPCDS Retail,Web Site Attributes,"Name, class, manager and open/close dates of a web site.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Web Page,A specific page on a web site from which an order or return originated. Type-2.,,,,,,,,,,,,,,TPCDS Retail:Dimension|TPCDS Retail:Slowly Changing Dimension,,,,
TPCDS Retail,Web Page Attributes,"URL, type, content counts and creation/access dates of a web page.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Warehouse,A distribution facility that holds inventory and ships catalog and web orders.,,,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Ship Mode,Shipping service level and carrier used for a catalog or web order.,,,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Ship Mode Type,Service level of the shipment.,,EXPRESS; NEXT DAY; OVERNIGHT; REGULAR; TWO DAY; LIBRARY,,,,,,,,,,,,,,,,
TPCDS Retail,Carrier,Shipping company used.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Promotion,A marketing campaign offering a discount on an item over a date range.,,,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Promotion Period,Start and end dates of the promotion.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Promotion Cost,Amount spent to run the promotion.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Promotion Channel,Marketing channels through which the promotion was communicated (Y/N flags).,,dmail; email; catalog; tv; radio; press; event; demo,,,,,,,,,,,,,,,,
TPCDS Retail,Promotion Purpose,Business purpose and response target of the promotion.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Discount Active,Whether the promotion's discount was in effect.,,Y; N,,,,,,,,,,,,,,,,
TPCDS Retail,Return Reason,Reason code given by the customer for a return.,,,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Calendar Date,One row per calendar day with fiscal and calendar attributes.,"All facts reference dates by surrogate key. Sales use the sold date; returns use the returned date; catalog/web also carry a ship date. Also known as: Date, Day.",,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Sold Date,Date the sale was made.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Ship Date,Date a catalog or web order was shipped.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Returned Date,Date the return was processed.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Calendar Year,Calendar year of the date.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Fiscal Year,Fiscal year of the date.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Quarter,Calendar quarter (1-4) and quarter name.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Month,Month of year and a monotonically increasing month sequence used for period arithmetic.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Week,Monotonically increasing week sequence.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Day of Week,Day of week number and name.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Holiday,"Whether the date is a holiday, and whether it follows one.",,Y; N,,,,,,,,,,,,,,,,
TPCDS Retail,Weekend,Whether the date falls on a weekend.,,Y; N,,,,,,,,,,,,,,,,
TPCDS Retail,Same Day Last Year,"Surrogate key of the equivalent day one year / one quarter earlier, for period-over-period comparison.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Current Period Flags,"Flags marking the current day, week, month, quarter and year.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Time of Day,"One row per second of the day with hour, minute, shift and meal-time attributes.",,,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Shift,Work shift in which the time falls.,,first; second; third,,,,,,,,,,,,,,,,
TPCDS Retail,Meal Time,Meal period in which the time falls.,,breakfast; lunch; dinner,,,,,,,,,,,,,,,,
TPCDS Retail,Ticket Number,Identifier of a store sales receipt; groups the line items of one store visit.,"Not unique on its own: the natural key of a store sales line is (ticket number, item).",,,,,,,,,,,TPCDS Retail:Order Number,,TPCDS Retail:Business Key,,,,
TPCDS Retail,Order Number,Identifier of a catalog or web order; groups the line items of one order.,"Natural key of a line is (order number, item).",,,,,,,,,,,TPCDS Retail:Ticket Number,,TPCDS Retail:Business Key,,,,
TPCDS Retail,Quantity Sold,Number of units of the item on the sales line.,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Unit Wholesale Cost,Per-unit cost to the retailer at time of sale.,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Unit List Price,Per-unit list (undiscounted) price at time of sale.,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Unit Sales Price,Per-unit price actually charged before coupons.,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Extended Wholesale Cost,Quantity Sold x Unit Wholesale Cost.,Also known as: COGS Line.,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Extended List Price,Quantity Sold x Unit List Price.,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Extended Sales Price,Quantity Sold x Unit Sales Price. Gross line revenue before coupons and tax.,Also known as: Gross Sales.,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Extended Discount Amount,Quantity Sold x (Unit List Price - Unit Sales Price). Markdown from list.,Also known as: Markdown.,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Coupon Amount,"Coupon discount applied to the line, after the sales price.",,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Net Paid,"Extended Sales Price - Coupon Amount. Revenue the customer actually paid, before tax and shipping.","Also known as: Net Sales, Net Revenue.",,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Extended Tax,"Sales tax charged on the line, computed on Net Paid.",,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Net Paid Including Tax,Net Paid + Extended Tax.,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Extended Ship Cost,Shipping charge on a catalog or web line.,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Net Paid Including Ship,Net Paid + Extended Ship Cost (catalog and web only).,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Net Paid Including Ship and Tax,Net Paid + Extended Ship Cost + Extended Tax (catalog and web only).,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Net Profit,Net Paid - Extended Wholesale Cost. Line-level gross profit.,Also known as: Gross Profit.,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Return Quantity,Units returned on the line.,,,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Return Amount,"Value of the returned goods refunded to the customer, before tax.",,,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Return Tax,Tax refunded on the return.,,,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Return Amount Including Tax,Return Amount + Return Tax.,,,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Return Fee,Restocking or handling fee charged to the customer for the return.,,,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Return Ship Cost,Shipping cost incurred to return the goods.,,,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Refunded Cash,Portion of the refund paid in cash.,,,,,,,,,,,,TPCDS Retail:Reversed Charge|TPCDS Retail:Store Credit,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Reversed Charge,Portion of the refund returned by reversing the original card charge.,,,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Store Credit,Portion of the refund issued as store or account credit.,,,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Net Loss,Total loss to the retailer from the return. Verify exact formula against dsdgen pricing.c before governing.,"Derived by dsdgen from return amount including tax, fee and shipping cost, net of the refund components. Treat as a measure, not a definition, until verified.",,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Inventory,Weekly snapshot of units on hand per item per warehouse.,"Semi-additive: sum across items and warehouses, never across dates.",,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
TPCDS Retail,Quantity On Hand,Units of the item held at the warehouse on the snapshot date.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Total Net Sales,SUM(Net Paid) across the selected channel(s).,Also known as: Revenue.,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Gross Margin,SUM(Net Profit) / SUM(Net Paid). Profit as a share of net revenue.,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Gross Margin Amount,SUM(Net Profit).,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Average Ticket,SUM(Net Paid) / COUNT(DISTINCT Ticket Number or Order Number).,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Units Per Transaction,SUM(Quantity Sold) / COUNT(DISTINCT Ticket Number or Order Number).,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Discount Rate,SUM(Extended Discount Amount + Coupon Amount) / SUM(Extended List Price).,,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Return Rate,SUM(Return Amount) / SUM(Net Paid) for the same channel and period.,,,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Return Quantity Rate,SUM(Return Quantity) / SUM(Quantity Sold).,,,,,,,,,,,,,,TPCDS Retail:Return Measure,,,,
TPCDS Retail,Net Sales After Returns,SUM(Net Paid) - SUM(Return Amount).,Also known as: Net Net Sales.,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Promotion Lift,"Net Paid on lines with a promotion vs lines without, for the same item and period.",,,,,,,,,,,,,,TPCDS Retail:Sales Measure,,,,
TPCDS Retail,Active Customers,COUNT(DISTINCT Customer) with at least one sale in the period.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Weeks of Supply,Quantity On Hand / average weekly Quantity Sold for the item.,,,,,,,,,,,,,,,,,,
